,02E,02S,02W,02N,08E,08S,08W,08N,14E,14S,14W,14N,20E,20S,20W,20N
3093,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1
3094,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1
3095,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
3096,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1
3097,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1
3098,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1
3099,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0
3100,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1
3101,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0
3102,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
3103,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
3104,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1
3105,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
3106,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1
3107,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0
3108,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
3109,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1
3110,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
3111,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
3112,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1
3113,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1
3114,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1
3115,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
3116,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1
3117,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1
3118,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1
3119,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1
3120,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1
3121,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1
3122,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0
3123,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0
3124,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0
3125,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1
3126,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1
3127,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
3128,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1
3129,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1
3130,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
3131,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0
3132,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1
3133,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0
3347,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0
3348,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
3349,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0
3350,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1
3351,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0
3352,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1
3353,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0
3354,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1
3355,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3356,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1
3357,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1
3358,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
3359,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
3360,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1
3361,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0
3362,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
3363,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0
3364,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1
3365,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1
3366,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1
3367,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1
3368,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1
3369,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
3370,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1
3371,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1
3372,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1
3373,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1
3374,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1
3375,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0
3376,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1
3377,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
3378,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0
3379,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
3380,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1
3381,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1
3382,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1
3383,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1
3384,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1
3385,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0
3386,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
3387,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1
3388,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1
3389,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1
3390,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1
3391,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1
3392,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1
3393,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
3394,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1
3395,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1
3396,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
3397,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
3398,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1
3399,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1
3400,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1
3401,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1
3402,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1
3403,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
3404,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1
3405,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1
3406,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0
3407,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0
3408,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1
3409,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1
3410,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1
3411,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1
3412,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1
3413,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0
3414,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1
3415,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
3416,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1
3417,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0
3418,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0
3419,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1
3420,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3421,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0
3422,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
3423,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1
3424,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1
3425,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
3426,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0
3427,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1
3428,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1
3429,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1
3430,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1
3431,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1
3432,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0
3433,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1
3434,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1
3435,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
3436,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1
3437,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
3438,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0
3439,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0
3440,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1
3441,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1
3442,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
3443,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0
3444,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0
3445,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1
3446,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1
3447,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0
3448,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0
3449,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0
3450,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1
3451,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0
3452,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
3453,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1
3454,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1
3455,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0
3456,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1
3457,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0
3458,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1
3459,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1
3460,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0
3461,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0
3462,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0
3463,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1
3464,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1
3465,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0
3466,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0
3467,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0
3468,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1
3469,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1
3470,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0
3471,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1
3472,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1
3473,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0
3474,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0
3475,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1
3476,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0
3477,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1
3478,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1
3479,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1
3480,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1
3481,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
3482,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0
3483,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0
3484,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
3485,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0
3486,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0
3487,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0
3488,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
3489,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1
3490,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0
3491,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1
3492,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0
3493,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1
3494,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1
3495,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1
3496,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0
3497,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0
3498,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1
3499,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1
3712,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
3713,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1
3714,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0
3715,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1
3716,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1
3717,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0
3718,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1
3719,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0
3720,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
3721,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
3722,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1
3723,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1
3724,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1
3725,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
3726,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
3727,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1
3728,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1
3729,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1
3730,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0
3731,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1
3732,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
3733,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1
3734,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1
3735,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
3736,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1
3737,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1
3738,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3739,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1
3740,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0
3741,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0
3742,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1
3743,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0
3744,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0
3745,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1
3746,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
3747,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1
3748,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1
3749,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0
3750,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0
3751,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1
3752,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1
3753,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0
3754,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1
3755,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0
3756,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
3757,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0
3758,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0
3759,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
3760,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1
3761,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1
3762,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1
3763,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3764,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1
3765,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1
3766,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0
3767,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1
3768,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1
3769,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
3770,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1
3771,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1
3772,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0
3773,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
3774,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1
3775,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1
3776,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1
3777,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
3778,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1
3779,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
3780,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1
3781,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0
3782,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0
3783,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0
3784,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1
3785,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
3786,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0
3787,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0
3788,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0
3789,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1
3790,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0
3791,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
3792,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1
3793,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
3794,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0
3795,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1
3796,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
3797,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0
3798,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0
3799,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1
3800,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
3801,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
3802,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0
