,区县id,站名id,年份,月份,日期,日照时数（单位：h),日平均风速(单位：m/s),日降水量（mm）,日最高温度（单位：℃）,日最低温度（单位：℃）,日平均温度（单位：℃）,日相对湿度（单位：%）,日平均气压（单位：hPa）
3031,county14,1,2015,4,20,2.6,2.7,2.7,21.6,16.0,18.4,70.0,990.3
3032,county14,1,2015,4,21,9.1,1.4,1.4,27.7,12.0,18.6,64.0,992.9
3033,county14,1,2015,4,22,0.0,1.6,1.6,21.1,13.5,16.9,80.0,996.0
3034,county14,1,2015,4,23,0.0,1.6,1.6,19.5,14.9,16.8,81.0,997.2
3035,county14,1,2015,4,24,1.1,1.0,1.0,21.8,14.8,17.6,85.0,997.3
3036,county14,1,2015,4,25,4.5,1.1,1.1,25.9,14.3,19.0,81.0,995.9
3037,county14,1,2015,4,26,3.4,1.3,1.3,26.3,15.0,19.8,79.0,993.6
3038,county14,1,2015,4,27,0.0,0.8,0.8,27.0,18.2,22.0,83.0,989.1
3039,county14,1,2015,4,28,1.8,1.0,1.0,27.8,21.0,23.1,89.0,987.4
3040,county14,1,2015,4,29,8.2,1.4,1.4,32.2,20.4,24.4,84.0,987.3
3041,county14,1,2015,4,30,0.6,0.9,0.9,27.1,19.5,22.3,91.0,986.4
3042,county14,1,2015,5,1,9.7,1.8,1.8,32.7,22.1,26.7,75.0,981.5
3043,county14,1,2015,5,2,8.4,1.4,1.4,31.7,21.5,24.6,79.0,984.3
3044,county14,1,2015,5,3,0.0,0.9,0.9,25.2,20.2,22.7,88.0,986.0
3045,county14,1,2015,5,4,0.0,1.4,1.4,23.6,19.9,21.0,84.0,988.9
3046,county14,1,2015,5,5,0.7,1.3,1.3,23.5,17.7,20.0,88.0,986.8
3047,county14,1,2015,5,6,7.0,1.0,1.0,29.9,19.1,22.8,84.0,984.6
3048,county14,1,2015,5,7,0.0,0.9,0.9,24.9,19.9,21.8,96.0,985.1
3049,county14,1,2015,5,8,8.1,1.7,1.7,30.4,20.5,24.2,81.0,983.0
3050,county14,1,2015,5,9,7.2,1.1,1.1,31.1,17.9,23.0,82.0,985.8
3051,county14,1,2015,5,10,1.3,1.2,1.2,29.8,20.9,24.5,83.0,983.9
3052,county14,1,2015,5,11,3.6,2.8,2.8,26.3,18.4,21.3,81.0,988.7
3053,county14,1,2015,5,12,8.6,1.7,1.7,30.3,12.9,19.9,71.0,990.3
3054,county14,1,2015,5,13,0.0,1.2,1.2,27.0,20.7,23.4,83.0,984.9
3055,county14,1,2015,5,14,2.5,1.6,1.6,31.5,23.8,26.6,84.0,983.4
3056,county14,1,2015,5,15,0.8,1.1,1.1,27.1,23.1,24.0,94.0,984.8
3057,county14,1,2015,5,16,0.3,1.1,1.1,27.1,21.1,23.5,88.0,986.4
3058,county14,1,2015,5,17,0.0,1.3,1.3,29.8,21.2,24.3,87.0,983.0
3059,county14,1,2015,5,18,0.0,0.8,0.8,26.0,23.1,24.1,94.0,981.5
3060,county14,1,2015,5,19,4.4,0.8,0.8,30.9,20.9,24.4,87.0,982.5
3061,county14,1,2015,5,20,3.6,0.7,0.7,30.9,23.0,25.6,86.0,982.5
3062,county14,1,2015,5,21,1.3,1.3,1.3,30.1,21.8,25.3,82.0,985.6
3063,county14,1,2015,5,22,0.0,1.3,1.3,24.8,21.8,22.6,93.0,984.5
3064,county14,1,2015,5,23,0.0,1.4,1.4,21.8,18.7,19.8,91.0,985.3
3065,county14,1,2015,5,24,0.7,0.7,0.7,26.6,18.3,21.5,86.0,985.5
3066,county14,1,2015,5,25,6.5,0.8,0.8,32.6,19.0,24.2,82.0,983.1
3067,county14,1,2015,5,26,0.5,0.9,0.9,30.7,22.9,25.8,90.0,982.3
3068,county14,1,2015,5,27,0.0,0.8,0.8,31.6,24.6,26.3,94.0,980.4
3069,county14,1,2015,5,28,3.7,1.3,1.3,33.1,25.0,28.1,85.0,978.3
3070,county14,1,2015,5,29,8.5,2.0,2.0,35.2,26.1,29.6,75.0,979.5
3071,county14,1,2015,5,30,1.7,2.2,2.2,30.0,23.4,24.3,82.0,984.7
3072,county14,1,2015,5,31,1.1,0.9,0.9,27.7,21.7,23.2,91.0,983.8
3073,county14,1,2015,6,1,2.9,1.3,1.3,32.5,23.4,26.7,89.0,980.2
3074,county14,1,2015,6,2,7.6,1.9,1.9,34.0,26.1,29.7,76.0,980.9
3075,county14,1,2015,6,3,6.7,1.3,1.3,34.2,25.4,28.9,81.0,983.8
3076,county14,1,2015,6,4,0.7,1.6,1.6,32.1,22.5,26.2,85.0,984.6
3077,county14,1,2015,6,5,0.0,1.1,1.1,25.8,21.2,22.9,85.0,986.2
3078,county14,1,2015,6,6,5.0,1.4,1.4,32.0,20.7,25.6,83.0,983.1
3079,county14,1,2015,6,7,0.0,0.8,0.8,27.7,24.3,25.7,94.0,981.9
3080,county14,1,2015,6,8,0.0,1.1,1.1,27.2,21.9,24.3,92.0,982.8
3081,county14,1,2015,6,9,2.2,0.8,0.8,30.4,20.4,24.0,82.0,983.5
3082,county14,1,2015,6,10,1.6,0.5,0.5,31.2,23.1,25.3,91.0,981.8
3083,county14,1,2015,6,11,0.0,0.7,0.7,27.7,23.0,24.7,94.0,984.8
3084,county14,1,2015,6,12,6.0,1.4,1.4,30.7,21.5,25.3,84.0,984.8
3085,county14,1,2015,6,13,0.0,0.8,0.8,27.0,24.0,24.9,96.0,981.8
3086,county14,1,2015,6,14,0.0,1.1,1.1,26.2,23.0,24.6,95.0,982.9
3087,county14,1,2015,6,15,0.0,1.8,1.8,31.9,23.8,26.9,87.0,983.5
3088,county14,1,2015,6,16,5.2,1.6,1.6,32.4,25.2,28.5,76.0,981.9
3089,county14,1,2015,6,17,7.3,1.8,1.8,31.9,26.8,29.3,74.0,979.5
3090,county14,1,2015,6,18,0.0,1.4,1.4,28.7,25.1,25.9,92.0,981.1
3091,county14,1,2015,6,19,0.0,1.0,1.0,25.4,21.6,23.4,92.0,984.3
3092,county14,1,2015,6,20,0.0,0.6,0.6,25.3,22.6,24.1,97.0,983.9
3093,county14,1,2015,6,21,0.0,0.8,0.8,30.7,23.8,26.1,90.0,981.9
3094,county14,1,2015,6,22,8.3,1.6,1.6,34.6,22.7,26.4,83.0,980.9
3095,county14,1,2015,6,23,3.9,0.7,0.7,32.9,24.4,27.7,85.0,979.4
3096,county14,1,2015,6,24,4.3,1.3,1.3,32.1,25.0,27.9,84.0,979.1
3097,county14,1,2015,6,25,3.1,0.8,0.8,31.2,24.8,27.2,89.0,979.4
3098,county14,1,2015,6,26,0.5,1.0,1.0,30.3,25.0,26.6,95.0,978.8
3099,county14,1,2015,6,27,0.0,1.3,1.3,32.1,26.3,28.9,79.0,980.5
3100,county14,1,2015,6,28,6.6,2.0,2.0,34.8,27.1,30.8,67.0,982.1
3101,county14,1,2015,6,29,4.5,1.8,1.8,34.5,28.8,30.6,71.0,980.9
3102,county14,1,2015,6,30,7.5,1.6,1.6,35.2,27.2,30.5,73.0,978.9
3103,county14,1,2015,7,1,0.0,1.3,1.3,32.0,26.5,28.8,88.0,978.4
3104,county14,1,2015,7,2,0.0,1.2,1.2,29.8,25.2,26.1,95.0,978.1
3105,county14,1,2015,7,3,0.0,0.8,0.8,28.4,24.9,26.1,93.0,978.7
3106,county14,1,2015,7,4,0.0,1.9,1.9,26.0,20.8,22.8,85.0,982.4
3107,county14,1,2015,7,5,0.0,1.4,1.4,23.9,20.5,21.9,87.0,984.7
3108,county14,1,2015,7,6,2.0,1.1,1.1,28.2,20.6,23.3,77.0,984.0
3109,county14,1,2015,7,7,8.6,1.7,1.7,30.3,17.8,23.5,75.0,983.6
3110,county14,1,2015,7,8,0.8,1.5,1.5,27.7,20.3,23.8,72.0,983.8
3111,county14,1,2015,7,9,0.0,1.3,1.3,27.5,19.5,23.8,81.0,983.7
3112,county14,1,2015,7,10,0.0,1.3,1.3,26.3,22.0,24.0,84.0,983.9
3113,county14,1,2015,7,11,4.7,0.9,0.9,33.1,22.0,26.4,81.0,982.1
3114,county14,1,2015,7,12,9.7,1.1,1.1,36.6,22.3,27.4,76.0,979.9
3115,county14,1,2015,7,13,11.0,1.1,1.1,38.0,22.8,28.6,76.0,979.8
3116,county14,1,2015,7,14,9.6,1.3,1.3,37.6,23.9,29.4,76.0,978.5
3117,county14,1,2015,7,15,4.3,1.3,1.3,34.4,24.7,27.9,85.0,977.4
3118,county14,1,2015,7,16,0.0,1.3,1.3,29.8,24.3,26.1,86.0,978.6
3119,county14,1,2015,7,17,8.4,1.1,1.1,33.4,22.2,27.5,72.0,980.4
3120,county14,1,2015,7,18,9.2,1.4,1.4,34.2,21.4,27.0,75.0,980.8
3121,county14,1,2015,7,19,8.1,1.4,1.4,34.5,22.1,27.5,75.0,980.9
3122,county14,1,2015,7,20,8.2,1.8,1.8,35.2,23.6,29.1,75.0,981.0
3123,county14,1,2015,7,21,8.1,1.9,1.9,36.6,24.9,29.6,72.0,982.0
3124,county14,1,2015,7,22,4.1,1.5,1.5,33.7,25.4,28.1,85.0,981.5
3125,county14,1,2015,7,23,0.0,1.0,1.0,28.9,25.5,26.5,91.0,980.7
3126,county14,1,2015,7,24,0.5,0.8,0.8,29.4,24.0,25.5,92.0,981.7
3127,county14,1,2015,7,25,4.9,1.1,1.1,34.1,23.5,27.2,84.0,980.4
3128,county14,1,2015,7,26,0.0,0.8,0.8,28.1,24.3,25.4,93.0,982.4
3129,county14,1,2015,7,27,0.0,0.9,0.9,25.5,23.7,24.3,98.0,984.6
3130,county14,1,2015,7,28,1.6,0.7,0.7,29.7,23.3,25.1,93.0,986.3
3131,county14,1,2015,7,29,1.1,1.0,1.0,30.4,22.3,24.7,91.0,986.0
3132,county14,1,2015,7,30,3.1,1.2,1.2,31.2,23.3,25.4,90.0,985.9
3133,county14,1,2015,7,31,1.8,1.0,1.0,31.0,22.8,25.5,89.0,986.1
3347,county14,1,2016,3,1,9.5,1.6,1.6,25.7,6.5,14.3,71.0,998.4
3348,county14,1,2016,3,2,6.8,1.2,1.2,24.8,8.6,15.2,71.0,997.3
3349,county14,1,2016,3,3,0.0,0.8,0.8,17.3,10.4,13.1,90.0,995.6
3350,county14,1,2016,3,4,0.0,0.5,0.5,18.7,13.5,15.5,90.0,992.8
3351,county14,1,2016,3,5,0.0,1.2,1.2,16.6,15.1,15.8,96.0,992.8
3352,county14,1,2016,3,6,6.9,0.6,0.6,25.3,15.3,18.2,88.0,992.3
3353,county14,1,2016,3,7,0.0,1.1,1.1,21.7,16.9,19.0,89.0,987.2
3354,county14,1,2016,3,8,2.0,2.9,2.9,25.2,17.8,20.1,83.0,984.8
3355,county14,1,2016,3,9,0.0,3.4,3.4,19.7,7.9,10.1,76.0,993.8
3356,county14,1,2016,3,10,0.0,3.5,3.5,7.9,4.1,5.1,78.0,1004.5
3357,county14,1,2016,3,11,0.0,1.1,1.1,8.1,3.7,5.3,86.0,1003.0
3358,county14,1,2016,3,12,0.0,1.0,1.0,9.6,5.8,7.6,91.0,994.0
3359,county14,1,2016,3,13,1.3,2.4,2.4,14.3,8.6,10.6,84.0,996.0
3360,county14,1,2016,3,14,6.8,0.9,0.9,19.8,5.6,11.6,77.0,997.4
3361,county14,1,2016,3,15,0.0,0.8,0.8,16.3,10.6,13.0,81.0,992.4
3362,county14,1,2016,3,16,0.0,0.5,0.5,18.1,12.0,14.4,88.0,990.1
3363,county14,1,2016,3,17,0.0,0.8,0.8,16.0,12.9,14.3,91.0,989.2
3364,county14,1,2016,3,18,3.2,1.1,1.1,24.7,13.6,17.2,84.0,988.8
3365,county14,1,2016,3,19,1.8,0.8,0.8,24.4,12.7,17.5,85.0,988.9
3366,county14,1,2016,3,20,0.0,1.1,1.1,20.6,17.1,18.4,93.0,986.8
3367,county14,1,2016,3,21,0.0,1.8,1.8,18.2,15.0,16.3,92.0,989.8
3368,county14,1,2016,3,22,0.0,1.5,1.5,16.0,13.4,14.2,90.0,988.9
3369,county14,1,2016,3,23,0.0,2.1,2.1,14.5,12.0,13.1,84.0,995.0
3370,county14,1,2016,3,24,0.0,2.3,2.3,13.7,10.3,11.6,77.0,1002.2
3371,county14,1,2016,3,25,8.9,1.0,1.0,20.3,6.6,12.1,76.0,1003.2
3372,county14,1,2016,3,26,0.5,1.6,1.6,14.7,7.3,10.3,87.0,1002.5
3373,county14,1,2016,3,27,2.0,1.1,1.1,18.1,8.2,11.8,80.0,1003.3
3374,county14,1,2016,3,28,0.0,0.7,0.7,16.4,10.3,12.7,83.0,999.4
3375,county14,1,2016,3,29,0.0,0.8,0.8,13.8,11.9,12.6,91.0,997.0
3376,county14,1,2016,3,30,0.0,0.6,0.6,16.7,12.5,13.6,95.0,995.6
3377,county14,1,2016,3,31,3.0,1.0,1.0,23.6,12.1,16.6,83.0,993.0
3378,county14,1,2016,4,1,0.0,0.7,0.7,21.6,16.7,18.6,91.0,988.2
3379,county14,1,2016,4,2,0.0,0.7,0.7,25.2,18.4,21.3,89.0,987.5
3380,county14,1,2016,4,3,3.2,1.1,1.1,29.0,20.0,22.8,85.0,987.1
3381,county14,1,2016,4,4,0.0,1.6,1.6,23.6,15.2,18.0,82.0,988.2
3382,county14,1,2016,4,5,0.0,0.8,0.8,22.9,17.5,19.8,87.0,984.8
3383,county14,1,2016,4,6,1.1,1.4,1.4,27.2,20.3,23.7,83.0,983.0
3384,county14,1,2016,4,7,0.0,1.6,1.6,24.1,16.7,17.9,91.0,989.5
3385,county14,1,2016,4,8,0.0,1.1,1.1,21.3,16.3,18.3,91.0,990.6
3386,county14,1,2016,4,9,0.0,2.1,2.1,21.7,18.4,19.2,92.0,985.9
3387,county14,1,2016,4,10,0.0,1.6,1.6,22.9,17.5,19.5,86.0,986.5
3388,county14,1,2016,4,11,9.9,1.0,1.0,29.5,16.3,21.1,79.0,987.2
3389,county14,1,2016,4,12,0.0,1.3,1.3,22.2,17.0,18.6,95.0,983.2
3390,county14,1,2016,4,13,0.0,1.1,1.1,23.4,18.0,20.1,87.0,982.9
3391,county14,1,2016,4,14,3.5,1.4,1.4,26.3,18.6,21.7,85.0,983.8
3392,county14,1,2016,4,15,3.5,1.1,1.1,30.8,20.1,23.7,84.0,982.4
3393,county14,1,2016,4,16,11.1,1.6,1.6,33.6,20.2,25.7,71.0,982.5
3394,county14,1,2016,4,17,0.0,1.9,1.9,24.0,15.1,17.5,88.0,988.7
3395,county14,1,2016,4,18,7.0,1.0,1.0,25.3,10.1,15.9,77.0,993.9
3396,county14,1,2016,4,19,0.0,0.6,0.6,21.0,14.3,17.7,91.0,989.4
3397,county14,1,2016,4,20,0.0,1.0,1.0,26.7,19.1,22.0,90.0,986.2
3398,county14,1,2016,4,21,6.0,0.6,0.6,28.9,17.7,21.7,82.0,988.9
3399,county14,1,2016,4,22,0.0,0.9,0.9,24.7,19.6,21.1,90.0,983.7
3400,county14,1,2016,4,23,0.0,1.3,1.3,22.3,19.1,20.1,90.0,984.3
3401,county14,1,2016,4,24,0.0,1.1,1.1,21.1,17.5,19.1,90.0,986.9
3402,county14,1,2016,4,25,0.0,0.8,0.8,20.3,17.4,18.4,92.0,986.5
3403,county14,1,2016,4,26,0.0,1.3,1.3,23.0,17.0,19.4,86.0,986.9
3404,county14,1,2016,4,27,7.2,1.2,1.2,28.5,15.1,20.2,80.0,988.9
3405,county14,1,2016,4,28,3.0,0.8,0.8,28.0,16.0,20.1,82.0,989.9
3406,county14,1,2016,4,29,0.0,0.8,0.8,21.1,17.0,18.2,93.0,991.9
3407,county14,1,2016,4,30,0.0,1.3,1.3,21.6,17.0,19.0,91.0,988.2
3408,county14,1,2016,5,1,0.0,0.8,0.8,26.5,18.9,21.4,92.0,984.7
3409,county14,1,2016,5,2,4.5,1.5,1.5,31.5,21.5,24.9,84.0,983.6
3410,county14,1,2016,5,3,6.9,1.7,1.7,30.8,20.3,24.2,83.0,987.0
3411,county14,1,2016,5,4,1.2,1.2,1.2,26.6,20.4,23.0,91.0,984.8
3412,county14,1,2016,5,5,6.6,1.3,1.3,31.9,20.2,24.8,85.0,982.4
3413,county14,1,2016,5,6,3.1,1.1,1.1,29.2,22.0,24.7,86.0,983.5
3414,county14,1,2016,5,7,4.5,1.1,1.1,32.3,22.1,26.1,83.0,982.8
3415,county14,1,2016,5,8,0.0,3.2,3.2,27.2,18.6,19.7,85.0,987.5
3416,county14,1,2016,5,9,0.9,1.4,1.4,21.6,17.0,18.2,86.0,987.2
3417,county14,1,2016,5,10,11.0,1.0,1.0,30.1,14.3,20.7,78.0,988.6
3418,county14,1,2016,5,11,7.3,1.0,1.0,33.4,16.1,22.5,71.0,986.0
3419,county14,1,2016,5,12,4.7,1.3,1.3,29.9,17.2,23.1,80.0,984.5
3420,county14,1,2016,5,13,0.0,0.6,0.6,25.5,22.0,23.4,92.0,988.1
3421,county14,1,2016,5,14,0.0,1.3,1.3,28.4,22.3,24.7,88.0,987.8
3422,county14,1,2016,5,15,0.9,2.3,2.3,25.0,16.5,19.9,80.0,993.2
3423,county14,1,2016,5,16,8.8,1.4,1.4,27.5,13.3,18.6,71.0,993.0
3424,county14,1,2016,5,17,8.3,1.1,1.1,29.1,13.2,20.1,75.0,988.7
3425,county14,1,2016,5,18,0.0,1.0,1.0,25.6,19.3,21.3,88.0,986.9
3426,county14,1,2016,5,19,0.0,1.2,1.2,24.8,19.3,21.9,93.0,983.0
3427,county14,1,2016,5,20,3.6,1.4,1.4,26.4,19.5,21.8,82.0,984.1
3428,county14,1,2016,5,21,2.3,2.7,2.7,25.9,20.3,22.4,73.0,988.3
3429,county14,1,2016,5,22,4.8,1.7,1.7,26.2,18.4,22.2,71.0,989.2
3430,county14,1,2016,5,23,0.0,0.9,0.9,22.1,18.2,19.9,88.0,989.2
3431,county14,1,2016,5,24,0.0,0.7,0.7,20.8,18.6,19.5,95.0,987.5
3432,county14,1,2016,5,25,0.0,0.5,0.5,23.7,19.3,20.9,94.0,983.8
3433,county14,1,2016,5,26,0.0,1.0,1.0,29.5,21.6,24.1,94.0,983.5
3434,county14,1,2016,5,27,5.2,3.3,3.3,27.1,20.1,22.5,83.0,983.9
3435,county14,1,2016,5,28,0.0,1.7,1.7,23.0,19.8,20.8,84.0,984.2
3436,county14,1,2016,5,29,0.0,0.8,0.8,24.5,18.7,20.8,89.0,986.0
3437,county14,1,2016,5,30,2.7,0.6,0.6,30.6,20.6,24.0,89.0,984.5
3438,county14,1,2016,5,31,5.7,1.5,1.5,33.7,24.5,28.5,80.0,982.3
3439,county14,1,2016,6,1,10.0,2.1,2.1,34.7,26.7,30.1,71.0,980.9
3440,county14,1,2016,6,2,10.2,1.4,1.4,36.7,25.3,29.9,77.0,978.7
3441,county14,1,2016,6,3,2.9,1.9,1.9,31.1,21.4,23.7,86.0,983.1
3442,county14,1,2016,6,4,4.3,1.0,1.0,29.8,21.3,24.2,86.0,984.8
3443,county14,1,2016,6,5,10.3,0.9,0.9,35.6,22.4,26.8,79.0,984.6
3444,county14,1,2016,6,6,10.9,1.2,1.2,36.8,22.5,27.4,72.0,984.7
3445,county14,1,2016,6,7,2.5,1.1,1.1,32.3,22.5,26.7,83.0,984.7
3446,county14,1,2016,6,8,3.5,1.3,1.3,32.0,23.4,26.8,80.0,983.2
3447,county14,1,2016,6,9,1.1,1.3,1.3,32.5,23.8,26.7,84.0,983.0
3448,county14,1,2016,6,10,4.0,0.6,0.6,31.2,24.2,25.9,90.0,982.6
3449,county14,1,2016,6,11,0.0,0.9,0.9,30.8,24.4,26.3,89.0,981.6
3450,county14,1,2016,6,12,0.0,1.0,1.0,27.2,24.1,25.2,94.0,982.1
3451,county14,1,2016,6,13,2.2,1.0,1.0,31.1,23.7,26.4,86.0,981.1
3452,county14,1,2016,6,14,0.9,0.8,0.8,29.7,24.6,26.1,91.0,978.8
3453,county14,1,2016,6,15,0.0,1.4,1.4,26.9,21.5,23.9,90.0,979.9
3454,county14,1,2016,6,16,4.5,0.8,0.8,30.0,19.3,22.6,83.0,986.1
3455,county14,1,2016,6,17,9.5,1.6,1.6,30.8,20.3,24.5,78.0,983.8
3456,county14,1,2016,6,18,4.5,1.5,1.5,33.1,22.8,26.7,82.0,983.2
3457,county14,1,2016,6,19,3.9,1.0,1.0,33.2,26.2,28.6,77.0,983.4
3458,county14,1,2016,6,20,0.6,0.9,0.9,31.3,25.6,27.7,81.0,982.1
3459,county14,1,2016,6,21,5.0,1.8,1.8,34.1,24.9,28.1,81.0,983.6
3460,county14,1,2016,6,22,11.3,1.6,1.6,35.3,24.6,29.4,75.0,984.1
3461,county14,1,2016,6,23,10.9,1.9,1.9,34.7,24.7,29.8,70.0,982.8
3462,county14,1,2016,6,24,7.7,1.8,1.8,34.1,24.9,28.8,75.0,983.1
3463,county14,1,2016,6,25,11.3,1.6,1.6,36.3,24.8,29.6,73.0,984.6
3464,county14,1,2016,6,26,10.9,2.2,2.2,35.9,22.6,27.9,73.0,985.7
3465,county14,1,2016,6,27,9.6,1.4,1.4,36.1,24.9,29.3,75.0,983.4
3466,county14,1,2016,6,28,9.1,1.5,1.5,35.9,24.6,29.3,74.0,983.2
3467,county14,1,2016,6,29,10.9,1.5,1.5,36.1,24.7,29.5,74.0,984.6
3468,county14,1,2016,6,30,0.7,1.2,1.2,30.7,25.5,26.8,90.0,983.6
3469,county14,1,2016,7,1,0.0,1.0,1.0,28.7,25.0,26.2,90.0,981.4
3470,county14,1,2016,7,2,0.0,1.0,1.0,26.7,24.3,25.4,96.0,982.1
3471,county14,1,2016,7,3,0.0,0.7,0.7,26.3,24.5,25.4,97.0,981.5
3472,county14,1,2016,7,4,0.0,1.2,1.2,28.0,24.5,25.7,95.0,979.1
3473,county14,1,2016,7,5,0.0,0.8,0.8,29.3,24.0,26.1,92.0,982.3
3474,county14,1,2016,7,6,9.2,1.0,1.0,35.4,24.3,27.6,83.0,985.0
3475,county14,1,2016,7,7,10.2,1.4,1.4,35.0,24.0,28.5,82.0,984.8
3476,county14,1,2016,7,8,11.1,0.9,0.9,37.4,23.9,28.9,79.0,981.0
3477,county14,1,2016,7,9,10.8,0.8,0.8,38.0,24.4,29.5,77.0,978.1
3478,county14,1,2016,7,10,11.4,1.0,1.0,39.5,25.1,30.8,73.0,976.3
3479,county14,1,2016,7,11,8.7,1.5,1.5,35.2,26.5,29.3,79.0,978.0
3480,county14,1,2016,7,12,8.7,1.0,1.0,36.0,25.2,29.3,81.0,978.6
3481,county14,1,2016,7,13,0.0,1.0,1.0,32.5,27.1,29.2,81.0,979.0
3482,county14,1,2016,7,14,9.2,1.2,1.2,35.0,25.9,29.2,80.0,980.8
3483,county14,1,2016,7,15,5.7,1.7,1.7,33.5,26.9,29.2,75.0,981.2
3484,county14,1,2016,7,16,4.2,1.1,1.1,33.4,25.9,28.8,83.0,981.9
3485,county14,1,2016,7,17,3.0,1.6,1.6,33.0,26.5,29.0,84.0,982.4
